[a, b, c, d, e, f]
[b, f, a, c, e, d]
[b, f, a, d, c, e]
[b, f, a, d, e, c]
[b, f, a, e, c, d]
[b, f, a, e, d, c]
[b, f, c, a, d, e]
[b, f, c, a, e, d]
[b, f, c, d, a, e]
[b, f, c, d, e, a]
[b, f, c, e, a, d]
[b, f, c, e, d, a]
[b, f, d, a, c, e]
[b, f, d, a, e, c]
[b, f, d, c, a, e]
[b, f, d, c, e, a]
[b, f, d, e, a, c]
[b, f, d, e, c, a]
[b, f, e, a, c, d]
[b, f, e, a, d, c]
[b, f, e, c, a, d]
[b, f, e, c, d, a]
[b, f, e, d, a, c]
[b, f, e, d, c, a]
[c, a, b, d, e, f]
[c, a, b, d, f, e]
[c, a, b, e, d, f]
[c, a, b, e, f, d]
[c, a, b, f, d, e]
[c, a, b, f, e, d]
[c, a, d, b, e, f]
[c, a, d, b, f, e]
[c, a, d, e, b, f]
[c, a, d, e, f, b]
[c, a, d, f, b, e]
[c, a, d, f, e, b]
[c, a, e, b, d, f]
[c, a, e, b, f, d]
[c, a, e, d, b, f]
[c, a, e, d, f, b]
[c, a, e, f, b, d]
[c, a, e, f, d, b]
[c, a, f, b, d, e]
[c, a, f, b, e, d]
[c, a, f, d, b, e]
[c, a, f, d, e, b]
[c, a, f, e, b, d]
[c, a, f, e, d, b]
[c, b, a, d, e, f]
[c, b, a, d, f, e]
[c, b, a, e, d, f]
[c, b, a, e, f, d]
[c, b, a, f, d, e]
[c, b, a, f, e, d]
[c, b, d, a, e, f]
[c, b, d, a, f, e]
[c, b, d, e, a, f]
[c, b, d, e, f, a]
[c, b, d, f, a, e]
[c, b, d, f, e, a]
[c, b, e, a, d, f]
[c, b, e, a, f, d]
[c, b, e, d, a, f]
[c, b, e, d, f, a]
[c, b, e, f, a, d]
[c, b, e, f, d, a]
[c, b, f, a, d, e]
[c, b, f, a, e, d]
[c, b, f, d, a, e]
[c, b, f, d, e, a]
[c, b, f, e, a, d]
[c, b, f, e, d, a]
[c, d, a, b, e, f]
[c, d, a, b, f, e]
[c, d, a, e, b, f]
[c, d, a, e, f, b]
[c, d, a, f, b, e]
[c, d, a, f, e, b]
[c, d, b, a, e, f]
[c, d, b, a, f, e]
[c, d, b, e, a, f]
[c, d, b, e, f, a]
[c, d, b, f, a, e]
[c, d, b, f, e, a]
[c, d, e, a, b, f]
[c, d, e, a, f, b]
[c, d, e, b, a, f]
[c, d, e, b, f, a]
[c, d, e, f, a, b]
[c, d, e, f, b, a]
[c, d, f, a, b, e]
[c, d, f, a, e, b]
[c, d, f, b, a, e]
[c, d, f, b, e, a]
[c, d, f, e, a, b]
[c, d, f, e, b, a]
[c, e, a, b, d, f]
[c, e, a, b, f, d]
[c, e, a, d, b, f]
[c, e, a, d, f, b]
[c, e, a, f, b, d]
[c, e, a, f, d, b]
[c, e, b, a, d, f]
[c, e, b, a, f, d]
[c, e, b, d, a, f]
[c, e, b, d, f, a]
[c, e, b, f, a, d]
[c, e, b, f, d, a]
[c, e, d, a, b, f]
[c, e, d, a, f, b]
[c, e, d, b, a, f]
[c, e, d, b, f, a]
[c, e, d, f, a, b]
[c, e, d, f, b, a]
[c, e, f, a, b, d]
[c, e, f, a, d, b]
[c, e, f, b, a, d]
[c, e, f, b, d, a]
[c, e, f, d, a, b]
[c, e, f, d, b, a]
[c, f, a, b, d, e]
[c, f, a, b, e, d]
[c, f, a, d, b, e]
[c, f, a, d, e, b]
[c, f, a, e, b, d]
[c, f, a, e, d, b]
[c, f, b, a, d, e]
[c, f, b, a, e, d]
[c, f, b, d, a, e]
[c, f, b, d, e, a]
[c, f, b, e, a, d]
[c, f, b, e, d, a]
[c, f, d, a, b, e]
[c, f, d, a, e, b]
[c, f, d, b, a, e]
[c, f, d, b, e, a]
[c, f, d, e, a, b]
[c, f, d, e, b, a]
[c, f, e, a, b, d]
[c, f, e, a, d, b]
[c, f, e, b, a, d]
[c, f, e, b, d, a]
[c, f, e, d, a, b]
[c, f, e, d, b, a]
[d, a, b, c, e, f]
[d, a, b, c, f, e]
[d, a, b, e, c, f]
[d, a, b, e, f, c]
[d, a, b, f, c, e]
[d, a, b, f, e, c]
[d, a, c, b, e, f]
[d, a, c, b, f, e]
[d, a, c, e, b, f]
[d, a, c, e, f, b]
[d, a, c, f, b, e]
[d, a, c, f, e, b]
[d, a, e, b, c, f]
[d, a, e, b, f, c]
[d, a, e, c, b, f]
[d, a, e, c, f, b]
[d, a, e, f, b, c]
[d, a, e, f, c, b]
[d, a, f, b, c, e]
[d, a, f, b, e, c]
[d, a, f, c, b, e]
[d, a, f, c, e, b]
[d, a, f, e, b, c]
[d, a, f, e, c, b]
[d, b, a, c, e, f]
[d, b, a, c, f, e]
[d, b, a, e, c, f]
[d, b, a, e, f, c]
[d, b, a, f, c, e]
[d, b, a, f, e, c]
[d, b, c, a, e, f]
[d, b, c, a, f, e]
[d, b, c, e, a, f]
[d, b, c, e, f, a]
[d, b, c, f, a, e]
[d, b, c, f, e, a]
[d, b, e, a, c, f]
[d, b, e, a, f, c]
[d, b, e, c, a, f]
[d, b, e, c, f, a]
[d, b, e, f, a, c]
[d, b, e, f, c, a]
[d, b, f, a, c, e]
[d, b, f, a, e, c]
[d, b, f, c, a, e]
[d, b, f, c, e, a]
[d, b, f, e, a, c]
[d, b, f, e, c, a]
[d, c, a, b, e, f]
[d, c, a, b, f, e]
[d, c, a, e, b, f]
[d, c, a, e, f, b]
[d, c, a, f, b, e]
[d, c, a, f, e, b]
[d, c, b, a, e, f]
[d, c, b, a, f, e]
[d, c, b, e, a, f]
[d, c, b, e, f, a]
[d, c, b, f, a, e]
[d, c, b, f, e, a]
[d, c, e, a, b, f]
[d, c, e, a, f, b]
[d, c, e, b, a, f]
[d, c, e, b, f, a]
[d, c, e, f, a, b]
[d, c, e, f, b, a]
[d, c, f, a, b, e]
[d, c, f, a, e, b]
[d, c, f, b, a, e]
[d, c, f, b, e, a]
[d, c, f, e, a, b]
[d, c, f, e, b, a]
[d, e, a, b, c, f]
[d, e, a, b, f, c]
[d, e, a, c, b, f]
[d, e, a, c, f, b]
[d, e, a, f, b, c]
[d, e, a, f, c, b]
[d, e, b, a, c, f]
[d, e, b, a, f, c]
[d, e, b, c, a, f]
[d, e, b, c, f, a]
[d, e, b, f, a, c]
[d, e, b, f, c, a]
[d, e, c, a, b, f]
[d, e, c, a, f, b]
[d, e, c, b, a, f]
[d, e, c, b, f, a]
[d, e, c, f, a, b]
[d, e, c, f, b, a]
[d, e, f, a, b, c]
[d, e, f, a, c, b]
[d, e, f, b, a, c]
[d, e, f, b, c, a]
[d, e, f, c, a, b]
[d, e, f, c, b, a]
[d, f, a, b, c, e]
[d, f, a, b, e, c]
[d, f, a, c, b, e]
[d, f, a, c, e, b]
[d, f, a, e, b, c]
[d, f, a, e, c, b]
[d, f, b, a, c, e]
[d, f, b, a, e, c]
[d, f, b, c, a, e]
[d, f, b, c, e, a]
[d, f, b, e, a, c]
[d, f, b, e, c, a]
[d, f, c, a, b, e]
[d, f, c, a, e, b]
[d, f, c, b, a, e]
[d, f, c, b, e, a]
[d, f, c, e, a, b]
[d, f, c, e, b, a]
[d, f, e, a, b, c]
[d, f, e, a, c, b]
[d, f, e, b, a, c]
[d, f, e, b, c, a]
[d, f, e, c, a, b]
[d, f, e, c, b, a]
[e, a, b, c, d, f]
[e, a, b, c, f, d]
[e, a, b, d, c, f]
[e, a, b, d, f, c]
[e, a, b, f, c, d]
[e, a, b, f, d, c]
[e, a, c, b, d, f]
[e, a, c, b, f, d]
[e, a, c, d, b, f]
[e, a, c, d, f, b]
[e, a, c, f, b, d]
[e, a, c, f, d, b]
[e, a, d, b, c, f]
[e, a, d, b, f, c]
[e, a, d, c, b, f]
[e, a, d, c, f, b]
[e, a, d, f, b, c]
[e, a, d, f, c, b]
[e, a, f, b, c, d]
[e, a, f, b, d, c]
[e, a, f, c, b, d]
[e, a, f, c, d, b]
[e, a, f, d, b, c]
[e, a, f, d, c, b]
[e, b, a, c, d, f]
[e, b, a, c, f, d]
[e, b, a, d, c, f]
[e, b, a, d, f, c]
[e, b, a, f, c, d]
[e, b, a, f, d, c]
[e, b, c, a, d, f]
[e, b, c, a, f, d]
[e, b, c, d, a, f]
[e, b, c, d, f, a]
[e, b, c, f, a, d]
[e, b, c, f, d, a]
[e, b, d, a, c, f]
[e, b, d, a, f, c]
[e, b, d, c, a, f]
[e, b, d, c, f, a]
[e, b, d, f, a, c]
[e, b, d, f, c, a]
[e, b, f, a, c, d]
[e, b, f, a, d, c]
[e, b, f, c, a, d]
[e, b, f, c, d, a]
[e, b, f, d, a, c]
[e, b, f, d, c, a]
[e, c, a, b, d, f]
[e, c, a, b, f, d]
[e, c, a, d, b, f]
[e, c, a, d, f, b]
[e, c, a, f, b, d]
[e, c, a, f, d, b]
[e, c, b, a, d, f]
[e, c, b, a, f, d]
[e, c, b, d, a, f]
[e, c, b, d, f, a]
[e, c, b, f, a, d]
[e, c, b, f, d, a]
[e, c, d, a, b, f]
[e, c, d, a, f, b]
[e, c, d, b, a, f]
[e, c, d, b, f, a]
[e, c, d, f, a, b]
[e, c, d, f, b, a]
[e, c, f, a, b, d]
[e, c, f, a, d, b]
[e, c, f, b, a, d]
[e, c, f, b, d, a]
[e, c, f, d, a, b]
[e, c, f, d, b, a]
[e, d, a, b, c, f]
[e, d, a, b, f, c]
[e, d, a, c, b, f]
[e, d, a, c, f, b]
[e, d, a, f, b, c]
[e, d, a, f, c, b]
[e, d, b, a, c, f]
[e, d, b, a, f, c]
[e, d, b, c, a, f]
[e, d, b, c, f, a]
[e, d, b, f, a, c]
[e, d, b, f, c, a]
[e, d, c, a, b, f]
[e, d, c, a, f, b]
[e, d, c, b, a, f]
[e, d, c, b, f, a]
[e, d, c, f, a, b]
[e, d, c, f, b, a]
[e, d, f, a, b, c]
[e, d, f, a, c, b]
[e, d, f, b, a, c]
[e, d, f, b, c, a]
[e, d, f, c, a, b]
[e, d, f, c, b, a]
[e, f, a, b, c, d]
[e, f, a, b, d, c]
[e, f, a, c, b, d]
[e, f, a, c, d, b]
[e, f, a, d, b, c]
[e, f, a, d, c, b]
[e, f, b, a, c, d]
[e, f, b, a, d, c]
[e, f, b, c, a, d]
[e, f, b, c, d, a]
[e, f, b, d, a, c]
[e, f, b, d, c, a]
[e, f, c, a, b, d]
[e, f, c, a, d, b]
[e, f, c, b, a, d]
[e, f, c, b, d, a]
[e, f, c, d, a, b]
[e, f, c, d, b, a]
[e, f, d, a, b, c]
[e, f, d, a, c, b]
[e, f, d, b, a, c]
[e, f, d, b, c, a]
[e, f, d, c, a, b]
[e, f, d, c, b, a]
[f, a, b, c, d, e]
[f, a, b, c, e, d]
[f, a, b, d, c, e]
[f, a, b, d, e, c]
[f, a, b, e, c, d]
[f, a, b, e, d, c]
[f, a, c, b, d, e]
[f, a, c, b, e, d]
[f, a, c, d, b, e]
[f, a, c, d, e, b]
[f, a, c, e, b, d]
[f, a, c, e, d, b]
[f, a, d, b, c, e]
[f, a, d, b, e, c]
[f, a, d, c, b, e]
[f, a, d, c, e, b]
[f, a, d, e, b, c]
[f, a, d, e, c, b]
[f, a, e, b, c, d]
[f, a, e, b, d, c]
[f, a, e, c, b, d]
[f, a, e, c, d, b]
[f, a, e, d, b, c]
[f, a, e, d, c, b]
[f, b, a, c, d, e]
[f, b, a, c, e, d]
[f, b, a, d, c, e]
[f, b, a, d, e, c]
[f, b, a, e, c, d]
[f, b, a, e, d, c]
[f, b, c, a, d, e]
[f, b, c, a, e, d]
[f, b, c, d, a, e]
[f, b, c, d, e, a]
[f, b, c, e, a, d]
[f, b, c, e, d, a]
[f, b, d, a, c, e]
[f, b, d, a, e, c]
[f, b, d, c, a, e]
[f, b, d, c, e, a]
[f, b, d, e, a, c]
[f, b, d, e, c, a]
[f, b, e, a, c, d]
[f, b, e, a, d, c]
[f, b, e, c, a, d]
[f, b, e, c, d, a]
[f, b, e, d, a, c]
[f, b, e, d, c, a]
[f, c, a, b, d, e]
[f, c, a, b, e, d]
[f, c, a, d, b, e]
[f, c, a, d, e, b]
[f, c, a, e, b, d]
[f, c, a, e, d, b]
[f, c, b, a, d, e]
[f, c, b, a, e, d]
[f, c, b, d, a, e]
[f, c, b, d, e, a]
[f, c, b, e, a, d]
[f, c, b, e, d, a]
[f, c, d, a, b, e]
[f, c, d, a, e, b]
[f, c, d, b, a, e]
[f, c, d, b, e, a]
[f, c, d, e, a, b]
[f, c, d, e, b, a]
[f, c, e, a, b, d]
[f, c, e, a, d, b]
[f, c, e, b, a, d]
[f, c, e, b, d, a]
[f, c, e, d, a, b]
[f, c, e, d, b, a]
[f, d, a, b, c, e]
[f, d, a, b, e, c]
[f, d, a, c, b, e]
[f, d, a, c, e, b]
[f, d, a, e, b, c]
[f, d, a, e, c, b]
[f, d, b, a, c, e]
[f, d, b, a, e, c]
[f, d, b, c, a, e]
[f, d, b, c, e, a]
[f, d, b, e, a, c]
[f, d, b, e, c, a]
[f, d, c, a, b, e]
[f, d, c, a, e, b]
[f, d, c, b, a, e]
[f, d, c, b, e, a]
[f, d, c, e, a, b]
[f, d, c, e, b, a]
[f, d, e, a, b, c]
[f, d, e, a, c, b]
[f, d, e, b, a, c]
[f, d, e, b, c, a]
[f, d, e, c, a, b]
[f, d, e, c, b, a]
[f, e, a, b, c, d]
[f, e, a, b, d, c]
[f, e, a, c, b, d]
[f, e, a, c, d, b]
[f, e, a, d, b, c]
[f, e, a, d, c, b]
[f, e, b, a, c, d]
[f, e, b, a, d, c]
[f, e, b, c, a, d]
[f, e, b, c, d, a]
[f, e, b, d, a, c]
[f, e, b, d, c, a]
[f, e, c, a, b, d]
[f, e, c, a, d, b]
[f, e, c, b, a, d]
[f, e, c, b, d, a]
[f, e, c, d, a, b]
[f, e, c, d, b, a]
[f, e, d, a, b, c]
[f, e, d, a, c, b]
[f, e, d, b, a, c]
[f, e, d, b, c, a]
[f, e, d, c, a, b]
[f, e, d, c, b, a]
